Precinct,Grade1,Grade2,Grade3,Total
1,1295,110,1z,999
6,1445,119,15,1579
7,622,122,19,763
9,1231,172,16,1419
10,995,82,13,1090
13,1865,132,18,2015
14,2688,191,10,2889
17,931,81,12,1024
18,2165,129,18,2312
19,1893,120,16,2029
20,961,51,14,1026
22,93,7,1,101
23,719,262,31,1012
24,938,134,14,1086
25,731,286,39,1056
26,549,113,13,675
28,680,241,23,944
30,667,188,13,868
32,706,281,42,1029
33,699,179,21,899
34,927,207,24,1158
40,1196,392,38,1626
41,911,556,20,1487
42,904,341,39,1284
43,1835,544,55,2434
44,1492,668,42,2202
45,968,188,19,1175
46,1120,450,44,1614
47,1561,516,46,2123
48,1216,384,28,1628
49,1280,266,26,1572
50,847,131,16,994
52,1730,398,30,2158
60,1199,213,27,1439
61,1508,147,13,1668
62,1106,184,12,1302
63,1127,236,23,1386
66,1073,162,8,1243
67,1793,590,47,2430
68,823,109,17,949
69,917,204,11,1132
70,1598,264,26,1888
71,1277,349,19,1645
72,890,231,25,1146
73,1539,663,50,2252
75,2775,909,93,3777
76,503,119,8,630
77,1193,339,30,1562
78,953,86,4,1043
79,1372,515,29,1916
81,1214,318,37,1569
83,1598,380,47,2025
84,897,134,8,1039
88,943,205,14,1162
90,1457,239,17,1713
94,852,88,12,952
100,474,132,6,612
101,631,245,21,897
102,1308,260,37,1605
103,1418,377,44,1839
104,1405,255,16,1676
105,1694,291,41,2026
106,1388,193,17,1598
107,1142,130,12,1284
108,1042,144,20,1206
109,1687,263,15,1965
110,1447,292,33,1772
111,806,63,7,876
112,818,84,7,909
113,1839,487,45,2371
114,1687,355,47,2089
115,1393,329,45,1767
120,942,342,31,1315
121,676,163,18,857
122,666,119,16,801
123,330,60,6,396