"PCT","total","FRISKED","CONTRABN","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N","N",1916,0.361038721214417,0.628815228093206
"2","1   ",3047,"N","Y",8,0.00150746856456959,0.00262553331145389
"3","1   ",3047,"Y","N",1092,0.205769459063749,0.358385297013456
"4","1   ",3047,"Y","Y",31,0.00584144068770716,0.0101739415818838
"5","10  ",2366,"N","N",1220,0.229888956096862,0.5156382079459
"6","10  ",2366,"N","Y",9,0.00169590213514079,0.00380388841927303
"7","10  ",2366,"Y","N",1056,0.198985850523186,0.446322907861369
"8","10  ",2366,"Y","Y",81,0.0152631192162671,0.0342349957734573
"9","100 ",4123,"N","N",2024,0.381389546836106,0.490904681057482
"10","100 ",4123,"N","Y",12,0.00226120284685438,0.00291050206160563
"11","100 ",4123,"Y","N",2032,0.382897015400676,0.492845015765219
"12","100 ",4123,"Y","Y",55,0.0103638463814159,0.0133398011156925
"13","101 ",9747,"N","N",2386,0.44960249938288,0.244793269724018
"14","101 ",9747,"N","Y",19,0.00358023784085278,0.00194931773879142
"15","101 ",9747,"Y","N",7248,1.36576651950005,0.743613419513697
"16","101 ",9747,"Y","Y",94,0.0177127556336927,0.00964399302349441
"17","102 ",6838,"N","N",2838,0.534774473281062,0.415033635565955
"18","102 ",6838,"N","Y",12,0.00226120284685438,0.00175489909330214
"19","102 ",6838,"Y","N",3796,0.71529383388827,0.555133079847909
"20","102 ",6838,"Y","Y",192,0.0361792455496701,0.0280783854928342
"21","103 ",12964,"N","N",5700,1.07407135225583,0.439679111385375
"22","103 ",12964,"N","Y",48,0.00904481138741754,0.0037025609379821
"23","103 ",12964,"Y","N",7023,1.32336896612153,0.541730947238507
"24","103 ",12964,"Y","Y",193,0.0363676791202413,0.0148873804381364
"25","104 ",4888,"N","N",1474,0.277751083021947,0.301554828150573
"26","104 ",4888,"N","Y",4,0.000753734282284795,0.000818330605564648
"27","104 ",4888,"Y","N",3327,0.626918489290378,0.680646481178396
"28","104 ",4888,"Y","Y",83,0.0156399863574095,0.0169803600654664
"29","105 ",8194,"N","N",3554,0.66969290981004,0.433731999023676
"30","105 ",8194,"N","Y",18,0.00339180427028158,0.00219672931413229
"31","105 ",8194,"Y","N",4285,0.807437849897586,0.522943617280937
"32","105 ",8194,"Y","Y",337,0.063502113282494,0.0411276543812546
"33","106 ",5018,"N","N",2316,0.436412149442896,0.461538461538462
"34","106 ",5018,"N","Y",5,0.000942167852855993,0.000996412913511359
"35","106 ",5018,"Y","N",2641,0.497653059878536,0.5263053009167
"36","106 ",5018,"Y","Y",56,0.0105522799519871,0.0111598246313272
"37","107 ",4438,"N","N",1784,0.336165489899018,0.401982875168995
"38","107 ",4438,"N","Y",15,0.00282650355856798,0.00337990085624155
"39","107 ",4438,"Y","N",2562,0.482766807803411,0.577287066246057
"40","107 ",4438,"Y","Y",77,0.0145093849339823,0.0173501577287066
"41","108 ",4094,"N","N",2132,0.401740372457796,0.52076209086468
"42","108 ",4094,"N","Y",23,0.00433397212313757,0.00561797752808989
"43","108 ",4094,"Y","N",1844,0.34747150413329,0.450415241817294
"44","108 ",4094,"Y","Y",95,0.0179011892042639,0.0232046897899365
"45","109 ",9672,"N","N",3652,0.688159399726018,0.377584780810587
"46","109 ",9672,"N","Y",3,0.000565300711713596,0.000310173697270471
"47","109 ",9672,"Y","N",5909,1.11345396850521,0.610938792390405
"48","109 ",9672,"Y","Y",108,0.0203508256216895,0.011166253101737
"49","110 ",9075,"N","N",1683,0.317133699271327,0.185454545454545
"50","110 ",9075,"N","Y",10,0.00188433570571199,0.00110192837465565
"51","110 ",9075,"Y","N",7202,1.35709857525377,0.793608815426997
"52","110 ",9075,"Y","Y",180,0.0339180427028158,0.0198347107438017
"53","111 ",3749,"N","N",1565,0.294898537943926,0.417444651907175
"54","111 ",3749,"N","Y",6,0.00113060142342719,0.00160042678047479
"55","111 ",3749,"Y","N",2129,0.401175071746082,0.567884769271806
"56","111 ",3749,"Y","Y",49,0.00923324495798874,0.0130701520405441
"57","112 ",2788,"N","N",1243,0.23422292822,0.44583931133429
"58","112 ",2788,"N","Y",6,0.00113060142342719,0.00215208034433285
"59","112 ",2788,"Y","N",1435,0.27040217376967,0.514705882352941
"60","112 ",2788,"Y","Y",104,0.0195970913394047,0.0373027259684362
"61","113 ",8711,"N","N",3152,0.593942614440418,0.36184135001722
"62","113 ",8711,"N","Y",38,0.00716047568170555,0.0043623005395477
"63","113 ",8711,"Y","N",5356,1.00925020397934,0.614854781310986
"64","113 ",8711,"Y","Y",165,0.0310915391442478,0.0189415681322466
"65","114 ",8452,"N","N",2944,0.554748431761609,0.348319924278277
"66","114 ",8452,"N","Y",14,0.00263806998799678,0.00165641268338855
"67","114 ",8452,"Y","N",5383,1.01433791038476,0.636890676762896
"68","114 ",8452,"Y","Y",111,0.0209161263334031,0.0131329862754378
"69","115 ",8061,"N","N",1861,0.350674874833001,0.230864656990448
"70","115 ",8061,"N","Y",11,0.00207276927628319,0.00136459496340404
"71","115 ",8061,"Y","N",6024,1.1351238291209,0.747301823595087
"72","115 ",8061,"Y","Y",165,0.0310915391442478,0.0204689244510607
"73","120 ",12348,"N","N",6467,1.21859990088394,0.523728539034661
"74","120 ",12348,"N","Y",38,0.00716047568170555,0.00307742144476838
"75","120 ",12348,"Y","N",5631,1.06106943588642,0.456025267249757
"76","120 ",12348,"Y","Y",212,0.0399479169610941,0.0171687722708131
"77","122 ",6394,"N","N",3484,0.656502559870056,0.544885830466062
"78","122 ",6394,"N","Y",27,0.00508770640542236,0.00422270878949015
"79","122 ",6394,"Y","N",2779,0.523656892617361,0.434626212073819
"80","122 ",6394,"Y","Y",104,0.0195970913394047,0.0162652486706287
"81","123 ",1935,"N","N",1062,0.200116451946613,0.548837209302326
"82","123 ",1935,"N","Y",3,0.000565300711713596,0.00155038759689922
"83","123 ",1935,"Y","N",839,0.158095765709236,0.43359173126615
"84","123 ",1935,"Y","Y",31,0.00584144068770716,0.0160206718346253
"85","13  ",3821,"N","N",2256,0.425106135208624,0.590421355666056
"86","13  ",3821,"N","Y",6,0.00113060142342719,0.00157026956294164
"87","13  ",3821,"Y","N",1511,0.284723125133081,0.395446218267469
"88","13  ",3821,"Y","Y",48,0.00904481138741754,0.0125621565035331
"89","14  ",8869,"N","N",6383,1.20277148095596,0.719697823880934
"90","14  ",8869,"N","Y",22,0.00414553855256637,0.00248055023114218
"91","14  ",8869,"Y","N",2412,0.454501772217731,0.27195850715977
"92","14  ",8869,"Y","Y",52,0.00979854566970233,0.00586311872815424
"93","17  ",1320,"N","N",909,0.17128611564922,0.688636363636364
"94","17  ",1320,"N","Y",9,0.00169590213514079,0.00681818181818182
"95","17  ",1320,"Y","N",392,0.0738659596639099,0.296969696969697
"96","17  ",1320,"Y","Y",10,0.00188433570571199,0.00757575757575758
"97","18  ",2963,"N","N",2051,0.386477253241528,0.692203847451907
"98","18  ",2963,"N","Y",3,0.000565300711713596,0.0010124873439082
"99","18  ",2963,"Y","N",879,0.165633108532084,0.296658791765103
"100","18  ",2963,"Y","Y",30,0.00565300711713596,0.010124873439082
"101","19  ",4646,"N","N",3342,0.629744992848946,0.719328454584589
"102","19  ",4646,"N","Y",36,0.00678360854056315,0.00774860094705123
"103","19  ",4646,"Y","N",1146,0.215944871874594,0.246663796814464
"104","19  ",4646,"Y","Y",122,0.0229888956096862,0.0262591476538958
"105","20  ",3260,"N","N",2095,0.394768330346661,0.642638036809816
"106","20  ",3260,"N","Y",7,0.00131903499399839,0.00214723926380368
"107","20  ",3260,"Y","N",1106,0.208407529051746,0.339263803680982
"108","20  ",3260,"Y","Y",52,0.00979854566970233,0.0159509202453988
"109","22  ",588,"N","N",396,0.0746196939461947,0.673469387755102
"110","22  ",588,"N","Y",7,0.00131903499399839,0.0119047619047619
"111","22  ",588,"Y","N",179,0.0337296091322446,0.304421768707483
"112","22  ",588,"Y","Y",6,0.00113060142342719,0.0102040816326531
"113","23  ",10993,"N","N",5403,1.01810658179619,0.49149458746475
"114","23  ",10993,"N","Y",25,0.00471083926427997,0.0022741744746657
"115","23  ",10993,"Y","N",5422,1.02168681963704,0.493222960065496
"116","23  ",10993,"Y","Y",143,0.0269460005916814,0.0130082779950878
"117","24  ",4198,"N","N",2648,0.498972094872534,0.630776560266794
"118","24  ",4198,"N","Y",26,0.00489927283485117,0.00619342544068604
"119","24  ",4198,"Y","N",1426,0.268706271634529,0.33968556455455
"120","24  ",4198,"Y","Y",98,0.0184664899159775,0.0233444497379705
"121","25  ",6350,"N","N",2959,0.557574935320177,0.465984251968504
"122","25  ",6350,"N","Y",10,0.00188433570571199,0.0015748031496063
"123","25  ",6350,"Y","N",3183,0.599784055128125,0.501259842519685
"124","25  ",6350,"Y","Y",198,0.0373098469730973,0.0311811023622047
"125","26  ",5399,"N","N",2516,0.474098863557136,0.466012224486016
"126","26  ",5399,"N","Y",31,0.00584144068770716,0.00574180403778477
"127","26  ",5399,"Y","N",2747,0.517627018359083,0.508797925541767
"128","26  ",5399,"Y","Y",105,0.0197855249099759,0.0194480459344323
"129","28  ",6691,"N","N",3927,0.739978631633097,0.586907786578987
"130","28  ",6691,"N","Y",15,0.00282650355856798,0.00224181736661187
"131","28  ",6691,"Y","N",2673,0.503682934136814,0.399491854730235
"132","28  ",6691,"Y","Y",76,0.0143209513634111,0.0113585413241668
"133","30  ",6156,"N","N",3003,0.56586601242531,0.487816764132554
"134","30  ",6156,"N","Y",45,0.00847951067570394,0.00730994152046784
"135","30  ",6156,"Y","N",2837,0.534586039710491,0.460851202079272
"136","30  ",6156,"Y","Y",271,0.0510654976247948,0.0440220922677063
"137","32  ",10656,"N","N",4102,0.772954506483057,0.384947447447447
"138","32  ",10656,"N","Y",38,0.00716047568170555,0.00356606606606607
"139","32  ",10656,"Y","N",6211,1.17036090681771,0.582864114114114
"140","32  ",10656,"Y","Y",305,0.0574722390242156,0.0286223723723724
"141","33  ",3612,"N","N",1417,0.267010369499389,0.392303433001107
"142","33  ",3612,"N","Y",10,0.00188433570571199,0.00276854928017719
"143","33  ",3612,"Y","N",2101,0.395898931770088,0.581672203765227
"144","33  ",3612,"Y","Y",84,0.0158284199279807,0.0232558139534884
"145","34  ",9664,"N","N",4926,0.928223768633725,0.509726821192053
"146","34  ",9664,"N","Y",15,0.00282650355856798,0.00155215231788079
"147","34  ",9664,"Y","N",4580,0.86302575321609,0.473923841059603
"148","34  ",9664,"Y","Y",143,0.0269460005916814,0.0147971854304636
"149","40  ",18229,"N","N",5393,1.01622224609047,0.295847276317955
"150","40  ",18229,"N","Y",25,0.00471083926427997,0.00137144111031872
"151","40  ",18229,"Y","N",12585,2.37143648563854,0.690383454934445
"152","40  ",18229,"Y","Y",226,0.0425859869490909,0.0123978276372813
"153","41  ",8596,"N","N",3202,0.603364292968978,0.372498836668218
"154","41  ",8596,"N","Y",13,0.00244963641742558,0.00151233131689158
"155","41  ",8596,"Y","N",5299,0.998509490456782,0.616449511400652
"156","41  ",8596,"Y","Y",82,0.0154515527868383,0.00953932061423918
"157","42  ",7737,"N","N",2146,0.404378442445792,0.277368489078454
"158","42  ",7737,"N","Y",37,0.00697204211113435,0.00478221532893887
"159","42  ",7737,"Y","N",5413,1.0199909175019,0.699625177717462
"160","42  ",7737,"Y","Y",141,0.026569133450539,0.0182241178751454
"161","43  ",10630,"N","N",4332,0.816294227714433,0.407525870178739
"162","43  ",10630,"N","Y",23,0.00433397212313757,0.00216368767638758
"163","43  ",10630,"Y","N",6134,1.15585152188373,0.577046095954845
"164","43  ",10630,"Y","Y",141,0.026569133450539,0.0132643461900282
"165","44  ",15378,"N","N",3491,0.657821594864055,0.227012615424633
"166","44  ",15378,"N","Y",28,0.00527613997599356,0.00182078293666276
"167","44  ",15378,"Y","N",11561,2.17848050937363,0.751788268955651
"168","44  ",15378,"Y","Y",298,0.0561532040302172,0.0193783326830537
"169","45  ",3990,"N","N",2178,0.410408316704071,0.545864661654135
"170","45  ",3990,"N","Y",14,0.00263806998799678,0.00350877192982456
"171","45  ",3990,"Y","N",1728,0.325613209947031,0.433082706766917
"172","45  ",3990,"Y","Y",70,0.0131903499399839,0.0175438596491228
"173","46  ",5619,"N","N",1139,0.214625836880595,0.202705107670404
"174","46  ",5619,"N","Y",7,0.00131903499399839,0.00124577326926499
"175","46  ",5619,"Y","N",4395,0.828165542660418,0.782167645488521
"176","46  ",5619,"Y","Y",78,0.0146978185045535,0.0138814735718099
"177","47  ",8917,"N","N",3382,0.637282335671794,0.379275541101267
"178","47  ",8917,"N","Y",28,0.00527613997599356,0.00314006953011102
"179","47  ",8917,"Y","N",5367,1.01132297325562,0.601884041718067
"180","47  ",8917,"Y","Y",140,0.0263806998799678,0.0157003476505551
"181","48  ",5408,"N","N",1837,0.346152469139292,0.339681952662722
"182","48  ",5408,"N","Y",2,0.000376867141142397,0.000369822485207101
"183","48  ",5408,"Y","N",3532,0.665547371257474,0.65310650887574
"184","48  ",5408,"Y","Y",37,0.00697204211113435,0.00684171597633136
"185","49  ",5771,"N","N",2399,0.452052135800306,0.415699185583088
"186","49  ",5771,"N","Y",14,0.00263806998799678,0.00242592271703344
"187","49  ",5771,"Y","N",3249,0.612220670785825,0.562987350545833
"188","49  ",5771,"Y","Y",109,0.0205392591922607,0.0188875411540461
"189","5   ",2756,"N","N",1592,0.299986244349348,0.577648766328012
"190","5   ",2756,"N","Y",11,0.00207276927628319,0.00399129172714078
"191","5   ",2756,"Y","N",1099,0.207088494057747,0.398766328011611
"192","5   ",2756,"Y","Y",54,0.0101754128108447,0.0195936139332366
"193","50  ",1818,"N","N",915,0.172416717072647,0.503300330033003
"194","50  ",1818,"N","Y",1,0.000188433570571199,0.00055005500550055
"195","50  ",1818,"Y","N",866,0.163183472114658,0.476347634763476
"196","50  ",1818,"Y","Y",36,0.00678360854056315,0.0198019801980198
"197","52  ",9735,"N","N",3237,0.60995946793897,0.33251155624037
"198","52  ",9735,"N","Y",7,0.00131903499399839,0.000719054956343092
"199","52  ",9735,"Y","N",6412,1.20823605450253,0.658654340010272
"200","52  ",9735,"Y","Y",79,0.0148862520751247,0.00811504879301489
"201","6   ",3600,"N","N",1849,0.348413671986146,0.513611111111111
"202","6   ",3600,"N","Y",10,0.00188433570571199,0.00277777777777778
"203","6   ",3600,"Y","N",1685,0.31751056641247,0.468055555555556
"204","6   ",3600,"Y","Y",56,0.0105522799519871,0.0155555555555556
"205","60  ",7775,"N","N",3156,0.594696348722703,0.405916398713826
"206","60  ",7775,"N","Y",15,0.00282650355856798,0.00192926045016077
"207","60  ",7775,"Y","N",4461,0.840602158318117,0.573762057877814
"208","60  ",7775,"Y","Y",143,0.0269460005916814,0.0183922829581994
"209","61  ",6681,"N","N",3854,0.7262229809814,0.576859751534201
"210","61  ",6681,"N","Y",12,0.00226120284685438,0.0017961383026493
"211","61  ",6681,"Y","N",2751,0.518380752641368,0.411764705882353
"212","61  ",6681,"Y","Y",64,0.0120597485165567,0.00957940428079629
"213","62  ",4462,"N","N",2335,0.439992387283749,0.523307933662035
"214","62  ",4462,"N","Y",5,0.000942167852855993,0.00112057373375168
"215","62  ",4462,"Y","N",2059,0.387984721806098,0.461452263558942
"216","62  ",4462,"Y","Y",63,0.0118713149459855,0.0141192290452712
"217","63  ",3651,"N","N",1157,0.218017641150877,0.316899479594632
"218","63  ",3651,"N","Y",14,0.00263806998799678,0.00383456587236374
"219","63  ",3651,"Y","N",2416,0.455255506500016,0.661736510545056
"220","63  ",3651,"Y","Y",64,0.0120597485165567,0.0175294439879485
"221","66  ",3420,"N","N",1450,0.273228677328238,0.423976608187135
"222","66  ",3420,"N","Y",1,0.000188433570571199,0.000292397660818713
"223","66  ",3420,"Y","N",1945,0.366503294760981,0.568713450292398
"224","66  ",3420,"Y","Y",24,0.00452240569370877,0.00701754385964912
"225","67  ",10783,"N","N",4534,0.854357808969815,0.420476676249652
"226","67  ",10783,"N","Y",16,0.00301493712913918,0.00148381711954002
"227","67  ",10783,"Y","N",6146,1.15811272473059,0.569971251043309
"228","67  ",10783,"Y","Y",87,0.0163937206396943,0.00806825558749884
"229","68  ",2548,"N","N",1556,0.293202635808785,0.610675039246468
"230","68  ",2548,"N","Y",6,0.00113060142342719,0.00235478806907378
"231","68  ",2548,"Y","N",953,0.179577192754352,0.374018838304553
"232","68  ",2548,"Y","Y",33,0.00621830782884956,0.0129513343799058
"233","69  ",5357,"N","N",2859,0.538731578263057,0.533694231846183
"234","69  ",5357,"N","Y",13,0.00244963641742558,0.00242673137950345
"235","69  ",5357,"Y","N",2441,0.459966345764296,0.455665484412918
"236","69  ",5357,"Y","Y",44,0.00829107710513274,0.0082135523613963
"237","7   ",3483,"N","N",1198,0.225743417544296,0.343956359460235
"238","7   ",3483,"N","Y",11,0.00207276927628319,0.00315819695664657
"239","7   ",3483,"Y","N",2186,0.41191578526864,0.627619867929945
"240","7   ",3483,"Y","Y",88,0.0165821542102655,0.0252655756531726
"241","70  ",11124,"N","N",4558,0.858880214663524,0.409744696152463
"242","70  ",11124,"N","Y",5,0.000942167852855993,0.000449478604818411
"243","70  ",11124,"Y","N",6513,1.22726784513022,0.585490830636462
"244","70  ",11124,"Y","Y",48,0.00904481138741754,0.00431499460625674
"245","71  ",4658,"N","N",2260,0.425859869490909,0.485186775440103
"246","71  ",4658,"N","Y",5,0.000942167852855993,0.00107342206955775
"247","71  ",4658,"Y","N",2334,0.439803953713178,0.501073422069558
"248","71  ",4658,"Y","Y",59,0.0111175806637007,0.0126663804207815
"249","72  ",5139,"N","N",2389,0.450167800094594,0.464876435104106
"250","72  ",5139,"N","Y",4,0.000753734282284795,0.000778361548939482
"251","72  ",5139,"Y","N",2713,0.511220276959662,0.527923720568204
"252","72  ",5139,"Y","Y",33,0.00621830782884956,0.00642148277875073
"253","73  ",21901,"N","N",11999,2.26101441328381,0.547874526277339
"254","73  ",21901,"N","Y",23,0.00433397212313757,0.00105018035706132
"255","73  ",21901,"Y","N",9810,1.84853332730346,0.447924752294416
"256","73  ",21901,"Y","Y",69,0.0130019163694127,0.00315054107118396
"257","75  ",24306,"N","N",11864,2.2355758812567,0.488109931704106
"258","75  ",24306,"N","Y",28,0.00527613997599356,0.00115197893524233
"259","75  ",24306,"Y","N",12308,2.31924038659031,0.506377026248663
"260","75  ",24306,"Y","Y",106,0.0199739584805471,0.00436106311198881
"261","76  ",4476,"N","N",2599,0.489738849914545,0.58065236818588
"262","76  ",4476,"N","Y",9,0.00169590213514079,0.00201072386058981
"263","76  ",4476,"Y","N",1760,0.33164308420531,0.393208221626452
"264","76  ",4476,"Y","Y",108,0.0203508256216895,0.0241286863270777
"265","77  ",9903,"N","N",4585,0.863967921068946,0.462991012824397
"266","77  ",9903,"N","Y",31,0.00584144068770716,0.00313036453599919
"267","77  ",9903,"Y","N",5178,0.975709028417667,0.522871857013026
"268","77  ",9903,"Y","Y",109,0.0205392591922607,0.0110067656265778
"269","78  ",3274,"N","N",2068,0.389680623941239,0.631643249847282
"270","78  ",3274,"N","Y",1,0.000188433570571199,0.00030543677458766
"271","78  ",3274,"Y","N",1189,0.224047515409155,0.363164324984728
"272","78  ",3274,"Y","Y",16,0.00301493712913918,0.00488698839340257
"273","79  ",15179,"N","N",6789,1.27927551060787,0.447262665524738
"274","79  ",15179,"N","Y",57,0.0107407135225583,0.0037551880888069
"275","79  ",15179,"Y","N",8200,1.54515527868383,0.540220040845906
"276","79  ",15179,"Y","Y",133,0.0250616648859694,0.00876210554054944
"277","81  ",9635,"N","N",3629,0.68382542760288,0.376647638816814
"278","81  ",9635,"N","Y",14,0.00263806998799678,0.00145303580695381
"279","81  ",9635,"Y","N",5925,1.11646890563435,0.614945511157239
"280","81  ",9635,"Y","Y",67,0.0126250492282703,0.00695381421899325
"281","83  ",11795,"N","N",4419,0.832687948354127,0.374650275540483
"282","83  ",11795,"N","Y",16,0.00301493712913918,0.00135650699448919
"283","83  ",11795,"Y","N",7245,1.36520121878833,0.614243323442137
"284","83  ",11795,"Y","Y",115,0.0216698606156879,0.00974989402289106
"285","84  ",3807,"N","N",2249,0.423787100214626,0.590753874441818
"286","84  ",3807,"N","Y",19,0.00358023784085278,0.00499080640924613
"287","84  ",3807,"Y","N",1468,0.27662048159852,0.385605463619648
"288","84  ",3807,"Y","Y",71,0.0133787835105551,0.0186498555292882
"289","88  ",5921,"N","N",2866,0.540050613257056,0.484039858132072
"290","88  ",5921,"N","Y",44,0.00829107710513274,0.00743117716601925
"291","88  ",5921,"Y","N",2898,0.546080487515334,0.48944435061645
"292","88  ",5921,"Y","Y",113,0.0212929934745455,0.0190846140854585
"293","9   ",5221,"N","N",2482,0.467692122157715,0.475387856732427
"294","9   ",5221,"N","Y",115,0.0216698606156879,0.0220264317180617
"295","9   ",5221,"Y","N",2368,0.446210695112598,0.453552959203218
"296","9   ",5221,"Y","Y",256,0.0482389940662269,0.0490327523462938
"297","90  ",9831,"N","N",5260,0.991160581204505,0.535042213406571
"298","90  ",9831,"N","Y",29,0.00546457354656476,0.00294985250737463
"299","90  ",9831,"Y","N",4441,0.836833486906693,0.451734309836232
"300","90  ",9831,"Y","Y",101,0.0190317906276911,0.010273624249822
"301","94  ",2089,"N","N",1133,0.213495235457168,0.542364767831498
"302","94  ",2089,"N","Y",5,0.000942167852855993,0.00239348970799426
"303","94  ",2089,"Y","N",917,0.172793584213789,0.438966012446146
"304","94  ",2089,"Y","Y",34,0.00640674139942075,0.0162757300143609
