"PCT","total","PF_HANDS","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",2525,0.475794765692277,0.828683951427634
"2","1   ",3047,"Y",522,0.0983623238381657,0.171316048572366
"3","10  ",2366,"N",2006,0.377997742565825,0.847844463229079
"4","10  ",2366,"Y",360,0.0678360854056315,0.152155536770921
"5","100 ",4123,"N",3521,0.663474601981191,0.853989813242784
"6","100 ",4123,"Y",602,0.113437009483862,0.146010186757216
"7","101 ",9747,"N",8130,1.53196492874385,0.834102800861804
"8","101 ",9747,"Y",1617,0.304697083613628,0.165897199138196
"9","102 ",6838,"N",5511,1.03845740741788,0.805937408599006
"10","102 ",6838,"Y",1327,0.250051348147981,0.194062591400994
"11","103 ",12964,"N",11028,2.07804541625918,0.850663375501388
"12","103 ",12964,"Y",1936,0.364807392625841,0.149336624498612
"13","104 ",4888,"N",4485,0.845124564011826,0.917553191489362
"14","104 ",4888,"Y",403,0.0759387289401931,0.0824468085106383
"15","105 ",8194,"N",7638,1.43925561202282,0.932145472296803
"16","105 ",8194,"Y",556,0.104769065237586,0.0678545277031975
"17","106 ",5018,"N",4582,0.863402620357232,0.913112793941809
"18","106 ",5018,"Y",436,0.0821570367690426,0.0868872060581905
"19","107 ",4438,"N",3370,0.63502113282494,0.759351059035602
"20","107 ",4438,"Y",1068,0.20124705337004,0.240648940964398
"21","108 ",4094,"N",3984,0.750719345155656,0.973131411822179
"22","108 ",4094,"Y",110,0.0207276927628319,0.0268685881778212
"23","109 ",9672,"N",7656,1.4426474162931,0.791563275434243
"24","109 ",9672,"Y",2016,0.379882078271537,0.208436724565757
"25","110 ",9075,"N",7012,1.32129619684525,0.77267217630854
"26","110 ",9075,"Y",2063,0.388738456088383,0.22732782369146
"27","111 ",3749,"N",3660,0.689666868290587,0.976260336089624
"28","111 ",3749,"Y",89,0.0167705877808367,0.0237396639103761
"29","112 ",2788,"N",2443,0.460343212905438,0.876255380200861
"30","112 ",2788,"Y",345,0.0650095818470636,0.123744619799139
"31","113 ",8711,"N",7798,1.46940498331421,0.895189989668236
"32","113 ",8711,"Y",913,0.172039849931504,0.104810010331764
"33","114 ",8452,"N",7466,1.40684503788457,0.883341221012778
"34","114 ",8452,"Y",986,0.185795500583202,0.116658778987222
"35","115 ",8061,"N",5402,1.01791814822562,0.670140181118968
"36","115 ",8061,"Y",2659,0.501044864148817,0.329859818881032
"37","120 ",12348,"N",10990,2.07088494057747,0.890022675736961
"38","120 ",12348,"Y",1358,0.255892788835688,0.109977324263039
"39","122 ",6394,"N",5946,1.12042601061635,0.92993431341883
"40","122 ",6394,"Y",448,0.084418239615897,0.0700656865811699
"41","123 ",1935,"N",1875,0.353312944820998,0.968992248062015
"42","123 ",1935,"Y",60,0.0113060142342719,0.0310077519379845
"43","13  ",3821,"N",3406,0.641804741365503,0.891389688563203
"44","13  ",3821,"Y",415,0.0781999317870475,0.108610311436797
"45","14  ",8869,"N",7984,1.50445362744045,0.900214229338144
"46","14  ",8869,"Y",885,0.166763709955511,0.0997857706618559
"47","17  ",1320,"N",1167,0.219901976856589,0.884090909090909
"48","17  ",1320,"Y",153,0.0288303362973934,0.115909090909091
"49","18  ",2963,"N",2736,0.5155542490828,0.923388457644279
"50","18  ",2963,"Y",227,0.0427744205196621,0.0766115423557206
"51","19  ",4646,"N",4250,0.800842674927594,0.914765389582436
"52","19  ",4646,"Y",396,0.0746196939461947,0.0852346104175635
"53","20  ",3260,"N",3107,0.585463103764714,0.953067484662577
"54","20  ",3260,"Y",153,0.0288303362973934,0.0469325153374233
"55","22  ",588,"N",571,0.107595568796154,0.97108843537415
"56","22  ",588,"Y",17,0.00320337069971038,0.0289115646258503
"57","23  ",10993,"N",10538,1.98571296667929,0.958610024561084
"58","23  ",10993,"Y",455,0.0857372746098954,0.0413899754389157
"59","24  ",4198,"N",3798,0.715670701029413,0.904716531681753
"60","24  ",4198,"Y",400,0.0753734282284795,0.0952834683182468
"61","25  ",6350,"N",5307,1.00001695902135,0.835748031496063
"62","25  ",6350,"Y",1043,0.19653621410576,0.164251968503937
"63","26  ",5399,"N",4802,0.904858005882896,0.889423967401371
"64","26  ",5399,"Y",597,0.112494841631006,0.110576032598629
"65","28  ",6691,"N",6166,1.16188139614201,0.921536392168585
"66","28  ",6691,"Y",525,0.0989276245498793,0.0784636078314153
"67","30  ",6156,"N",5482,1.03299283387131,0.890513320337882
"68","30  ",6156,"Y",674,0.127004226564988,0.109486679662118
"69","32  ",10656,"N",7434,1.40081516362629,0.697635135135135
"70","32  ",10656,"Y",3222,0.607132964380402,0.302364864864865
"71","33  ",3612,"N",3195,0.60204525797498,0.884551495016611
"72","33  ",3612,"Y",417,0.0785767989281898,0.115448504983389
"73","34  ",9664,"N",8321,1.56795574072294,0.861030629139073
"74","34  ",9664,"Y",1343,0.25306628527712,0.138969370860927
"75","40  ",18229,"N",13521,2.54781030769318,0.741730210104778
"76","40  ",18229,"Y",4708,0.887145250249203,0.258269789895222
"77","41  ",8596,"N",7591,1.43039923420597,0.883085155886459
"78","41  ",8596,"Y",1005,0.189375738424055,0.116914844113541
"79","42  ",7737,"N",6289,1.18505872532227,0.812847356856663
"80","42  ",7737,"Y",1448,0.272851810187096,0.187152643143337
"81","43  ",10630,"N",9409,1.77297146550441,0.88513640639699
"82","43  ",10630,"Y",1221,0.230077389667434,0.11486359360301
"83","44  ",15378,"N",9711,1.82987840381691,0.631486539211861
"84","44  ",15378,"Y",5667,1.06785304442698,0.368513460788139
"85","45  ",3990,"N",3574,0.673461581221464,0.895739348370927
"86","45  ",3990,"Y",416,0.0783883653576187,0.104260651629073
"87","46  ",5619,"N",3804,0.71680130245284,0.676988788040577
"88","46  ",5619,"Y",1815,0.342006930586726,0.323011211959423
"89","47  ",8917,"N",7192,1.35521423954806,0.806549287877089
"90","47  ",8917,"Y",1725,0.325047909235318,0.193450712122911
"91","48  ",5408,"N",4181,0.787840758558182,0.773113905325444
"92","48  ",5408,"Y",1227,0.231207991090861,0.226886094674556
"93","49  ",5771,"N",5207,0.981173601964232,0.902269970542367
"94","49  ",5771,"Y",564,0.106276533802156,0.097730029457633
"95","5   ",2756,"N",2311,0.43546998159004,0.838534107402032
"96","5   ",2756,"Y",445,0.0838529389041834,0.161465892597968
"97","50  ",1818,"N",1524,0.287172761550507,0.838283828382838
"98","50  ",1818,"Y",294,0.0553994697479324,0.161716171617162
"99","52  ",9735,"N",7834,1.47618859185477,0.80472521828454
"100","52  ",9735,"Y",1901,0.358212217655849,0.19527478171546
"101","6   ",3600,"N",2928,0.55173349463247,0.813333333333333
"102","6   ",3600,"Y",672,0.126627359423846,0.186666666666667
"103","60  ",7775,"N",6478,1.22067267016023,0.833183279742765
"104","60  ",7775,"Y",1297,0.244398341030845,0.166816720257235
"105","61  ",6681,"N",6265,1.18053631962856,0.937733872174824
"106","61  ",6681,"Y",416,0.0783883653576187,0.0622661278251759
"107","62  ",4462,"N",4146,0.78124558358819,0.929179740026894
"108","62  ",4462,"Y",316,0.0595450083004988,0.0708202599731062
"109","63  ",3651,"N",3215,0.605813929386404,0.880580662832101
"110","63  ",3651,"Y",436,0.0821570367690426,0.119419337167899
"111","66  ",3420,"N",3187,0.60053778941041,0.93187134502924
"112","66  ",3420,"Y",233,0.0439050219430893,0.0681286549707602
"113","67  ",10783,"N",10152,1.91297760843881,0.941481962348141
"114","67  ",10783,"Y",631,0.118901583030426,0.0585180376518594
"115","68  ",2548,"N",2390,0.450356233665165,0.937990580847724
"116","68  ",2548,"Y",158,0.0297725041502494,0.0620094191522763
"117","69  ",5357,"N",3793,0.714728533176557,0.708045547881277
"118","69  ",5357,"Y",1564,0.294710104373355,0.291954452118723
"119","7   ",3483,"N",3083,0.580940698071006,0.885156474303761
"120","7   ",3483,"Y",400,0.0753734282284795,0.114843525696239
"121","70  ",11124,"N",9778,1.84250345304518,0.879000359582884
"122","70  ",11124,"Y",1346,0.253631585988833,0.120999640417116
"123","71  ",4658,"N",4434,0.835514451912695,0.951910691283813
"124","71  ",4658,"Y",224,0.0422091198079485,0.0480893087161872
"125","72  ",5139,"N",4536,0.854734676110957,0.882661996497373
"126","72  ",5139,"Y",603,0.113625443054433,0.117338003502627
"127","73  ",21901,"N",21040,3.96464232481802,0.960686726633487
"128","73  ",21901,"Y",861,0.162241304261802,0.0393132733665129
"129","75  ",24306,"N",22272,4.19679248376174,0.916316958775611
"130","75  ",24306,"Y",2034,0.383273882541818,0.083683041224389
"131","76  ",4476,"N",4168,0.785391122140756,0.931188561215371
"132","76  ",4476,"Y",308,0.0580375397359292,0.0688114387846291
"133","77  ",9903,"N",9140,1.72228283502076,0.922952640613955
"134","77  ",9903,"Y",763,0.143774814345825,0.0770473593860446
"135","78  ",3274,"N",3146,0.592812013016991,0.960904092852779
"136","78  ",3274,"Y",128,0.0241194970331134,0.0390959071472205
"137","79  ",15179,"N",14295,2.69365789131529,0.9417616443771
"138","79  ",15179,"Y",884,0.16657527638494,0.0582383556229001
"139","81  ",9635,"N",8956,1.68761105803566,0.92952776336274
"140","81  ",9635,"Y",679,0.127946394417844,0.07047223663726
"141","83  ",11795,"N",10841,2.04280833856237,0.919118270453582
"142","83  ",11795,"Y",954,0.179765626324924,0.080881729546418
"143","84  ",3807,"N",3230,0.608640432944972,0.848437089571841
"144","84  ",3807,"Y",577,0.108726170219582,0.151562910428159
"145","88  ",5921,"N",5673,1.06898364585041,0.958115183246073
"146","88  ",5921,"Y",248,0.0467315255016573,0.0418848167539267
"147","9   ",5221,"N",4491,0.846255165435253,0.860180042137522
"148","9   ",5221,"Y",730,0.137556506516975,0.139819957862478
"149","90  ",9831,"N",9538,1.79727939610809,0.970196317770318
"150","90  ",9831,"Y",293,0.0552110361773612,0.0298036822296816
"151","94  ",2089,"N",2003,0.377432441854111,0.958831977022499
"152","94  ",2089,"Y",86,0.0162052870691231,0.0411680229775012
